Winrate_Blue_Top,Games_Blue_Top,Winrate_Blue_Jungle,Games_Blue_Jungle,Winrate_Blue_Mid,Games_Blue_Mid,Winrate_Blue_Carry,Games_Blue_Carry,Winrate_Blue_Support,Games_Blue_Support,Winrate_Red_Top,Games_Red_Top,Winrate_Red_Jungle,Games_Red_Jungle,Winrate_Red_Mid,Games_Red_Mid,Winrate_Red_Carry,Games_Red_Carry,Winrate_Red_Support,Games_Red_Support,Outcome
56.2,130.0,46.2,13.0,35.3,17.0,,,44.1,34.0,55.6,9.0,54.7,344.0,80.0,15.0,43.8,16.0,53.7,41.0,False
,,54.8,31.0,50.8,63.0,49.0,51.0,50.0,8.0,62.1,66.0,50.0,12.0,59.8,117.0,0.0,1.0,54.5,11.0,True
56.7,30.0,53.9,425.0,59.8,117.0,60.0,5.0,33.3,6.0,50.0,6.0,66.7,15.0,60.2,347.0,55.3,550.0,61.5,13.0,False
59.8,117.0,50.0,2.0,37.1,35.0,50.0,6.0,75.0,4.0,70.0,10.0,48.5,33.0,52.0,102.0,65.3,72.0,49.2,126.0,False
,,75.0,8.0,47.4,19.0,52.2,23.0,44.4,18.0,55.8,52.0,48.8,43.0,35.3,17.0,58.7,75.0,54.8,62.0,True
62.5,8.0,75.0,12.0,41.4,29.0,,,51.0,351.0,54.5,22.0,43.8,32.0,59.8,117.0,58.7,75.0,100.0,1.0,False
55.0,111.0,65.5,55.0,59.8,117.0,60.0,5.0,59.5,131.0,53.3,30.0,55.8,52.0,62.5,8.0,77.8,9.0,55.1,98.0,True
61.5,161.0,46.6,58.0,0.0,1.0,28.6,7.0,43.9,41.0,38.1,42.0,60.7,173.0,52.0,294.0,62.5,8.0,41.7,48.0,False
60.0,5.0,34.3,35.0,65.7,70.0,50.5,91.0,55.5,391.0,45.3,139.0,0.0,1.0,66.7,12.0,64.3,112.0,45.7,70.0,True
57.3,96.0,52.7,256.0,65.7,105.0,61.9,21.0,54.5,132.0,57.4,470.0,25.0,4.0,40.0,5.0,56.4,264.0,65.4,52.0,True
52.9,467.0,50.0,12.0,52.9,17.0,66.7,6.0,41.7,12.0,,,53.8,13.0,53.8,13.0,33.3,39.0,58.9,146.0,True
53.7,562.0,63.6,11.0,50.0,10.0,0.0,5.0,,,55.6,54.0,60.5,76.0,54.2,382.0,52.9,70.0,56.7,353.0,False
52.8,144.0,75.9,29.0,47.5,40.0,85.7,7.0,55.6,243.0,54.2,552.0,62.7,83.0,49.2,61.0,20.0,15.0,66.7,57.0,True
58.2,679.0,50.0,48.0,55.2,834.0,54.7,391.0,52.2,23.0,59.4,32.0,100.0,12.0,53.8,13.0,,,57.1,28.0,False
58.5,118.0,54.4,57.0,53.8,13.0,,,51.0,749.0,52.7,964.0,50.0,2.0,53.8,39.0,52.6,38.0,45.5,55.0,True
54.4,511.0,66.1,118.0,62.4,322.0,55.6,36.0,62.5,32.0,54.5,134.0,52.6,19.0,56.7,224.0,47.8,23.0,75.0,16.0,True
,,57.3,689.0,53.4,148.0,55.4,121.0,51.2,41.0,,,57.3,131.0,57.0,107.0,48.9,45.0,75.0,16.0,False
33.3,6.0,,,50.3,149.0,80.0,10.0,50.0,2.0,66.7,12.0,65.9,82.0,44.1,102.0,41.5,41.0,75.0,16.0,False
50.0,2.0,35.7,28.0,47.4,19.0,43.8,16.0,75.0,4.0,65.2,23.0,60.3,141.0,57.0,107.0,55.1,207.0,69.6,23.0,False
56.5,382.0,57.9,347.0,,,54.3,403.0,23.1,13.0,46.4,28.0,68.3,63.0,43.8,64.0,55.1,207.0,69.6,23.0,False
67.6,34.0,68.3,63.0,46.7,15.0,65.2,89.0,69.6,23.0,54.9,51.0,44.9,49.0,53.3,377.0,62.5,8.0,50.6,2957.0,True
0.0,3.0,60.5,205.0,56.3,48.0,58.1,129.0,,,50.0,2.0,61.5,13.0,56.7,224.0,100.0,1.0,69.6,23.0,False
55.6,9.0,,,44.4,18.0,36.4,11.0,75.0,16.0,64.3,98.0,43.5,23.0,54.9,386.0,0.0,1.0,0.0,3.0,True
