,Winrate_Blue_Top,Games_Blue_Top,Winrate_Blue_Jungle,Games_Blue_Jungle,Winrate_Blue_Mid,Games_Blue_Mid,Winrate_Blue_Carry,Games_Blue_Carry,Winrate_Blue_Support,Games_Blue_Support,Winrate_Red_Top,Games_Red_Top,Winrate_Red_Jungle,Games_Red_Jungle,Winrate_Red_Mid,Games_Red_Mid,Winrate_Red_Carry,Games_Red_Carry,Winrate_Red_Support,Games_Red_Support,Outcome,blue_winrates_avg,red_winrates_avg,avg_win_dif,blue_games_avg,red_games_avg
3079,,,44.4,18.0,52.8,1153.0,,,57.5,40.0,45.7,81.0,0.0,3.0,38.1,21.0,55.6,45.0,50.0,16.0,True,51.57,37.88,13.689999999999998,51.57,37.88
3080,47.6,126.0,56.3,16.0,47.6,21.0,84.6,13.0,66.7,3.0,50.0,2.0,0.0,2.0,25.0,8.0,50.0,12.0,42.9,7.0,True,60.56,33.58,26.980000000000004,60.56,33.58
3081,56.1,524.0,56.3,16.0,66.7,18.0,73.7,19.0,,,54.6,449.0,50.8,61.0,48.2,421.0,50.0,4.0,28.6,7.0,True,63.2,46.44,16.760000000000005,63.2,46.44
3082,,,51.7,58.0,20.0,5.0,47.1,187.0,33.3,6.0,33.3,3.0,52.2,46.0,52.1,259.0,47.1,17.0,58.7,172.0,False,38.03,48.68,-10.649999999999999,38.03,48.68
3083,100.0,1.0,50.5,301.0,77.3,22.0,59.5,131.0,80.0,10.0,49.3,69.0,56.3,16.0,51.4,148.0,43.3,180.0,50.6,85.0,True,73.46,50.18,23.279999999999994,73.46,50.18
3084,51.0,263.0,56.3,16.0,66.7,3.0,47.6,21.0,51.1,94.0,50.7,67.0,70.5,44.0,65.9,41.0,54.5,11.0,50.8,707.0,True,54.54,58.48,-3.9399999999999977,54.54,58.48
3085,55.7,375.0,56.3,16.0,,,65.5,55.0,57.4,68.0,57.7,430.0,52.6,173.0,25.0,8.0,0.0,1.0,46.7,15.0,True,58.72,36.4,22.32,58.72,36.4
3086,41.7,12.0,0.0,1.0,54.2,48.0,0.0,1.0,0.0,2.0,52.4,63.0,62.3,114.0,54.5,11.0,70.6,34.0,45.3,53.0,False,19.18,57.02,-37.84,19.18,57.02
3087,49.5,576.0,50.0,2.0,100.0,1.0,66.7,3.0,57.1,7.0,0.0,1.0,49.1,57.0,35.3,17.0,0.0,1.0,0.0,3.0,True,64.66,16.88,47.78,64.66,16.88
3088,52.9,174.0,56.3,16.0,46.9,32.0,53.3,75.0,25.0,4.0,40.0,5.0,61.8,68.0,53.7,41.0,66.7,6.0,45.0,20.0,False,46.88,53.44,-6.559999999999995,46.88,53.44
