,Summoner ID
40,cpdWrKaz6CkoPE3gh-3E-8rR08OyklalBeS6t-73kUF4kV01
41,S81_jfEJK2A9giXHGaOIfcsWFOZWNHKxj63MWVXAKk8byzJr
42,QxZdm5aEVC6OdinmM3Ycj5-oH0qXigm6XdD9MQLXklqhhzwu
43,n3ok4dtX5hDGwez5JUGp01wvOrGrBN7tOL3ArkVbi1MWbb5U
44,TQQKJ-Jw64hAWRo3kf6qEVlpbPHr1rmuw73uGhWAty29aKm2
45,IZfzbwhP2V1IC6zyYB0Ovwh6ApZMVHyBPeR48UemC2gpcqpb
46,QEPkYaZ_CwBeeYSIp7E2auaPRLmdkSmT8aiw030zblmmBEea
47,3HT0qnOYYmLHXXzgE0VhnfL0sfMvP4vTGSoI6Cygk1vRFS1S
48,CjojZtPYZ9_rexRoWtlJrqgPdV56nVBOFBhZ7Zd0CpCoOsrn
49,g6m4m_K89c3ak8umOhBIsoug5cC7qrSvg0L_ojDsjv4IjWA1
50,MGcKfhuaEAhC3RbQO-3OEapPut-mTafI5rdQ3rv1etUVcSpW
51,RBbNiTvPynb0ZB8xD2zEANSEVJDjNS6OnkOZK7iRmfRBsIj3
52,xUmry0cVe4SFj6OcDmEkl6ux45V6k2XPqI5XI54MTz7iZS8z
53,x9-bCeAF8Zn0G-BcMMNXf3lZIGMHweRg6eIkz19EuxxGxMlm
54,I3jqy8f3zleLm4HnOUxOf4NCFHwz3lfITDTzSbYvfH6tTIcR
55,8lSFptEr_vUvJckfmpA0wx4hWBdrA73Toe_CKHZqbj8lVFlw
56,-iEbdts8UpTIemRfuLkL35jZzuY4efsE_9HDgruaV-a-9qD-
57,7FZGkJ7Cko8aGrbsep30Uhd-_WWaUYjDz61ZcJYH69NdnkzD
58,x2JSSVxQRuiQnJkYMUaJ5iIV3gma8ayW2uAQtfzp_IumgV5M
59,jKXkqn__wF_WbF0zYPS1atSqwEOhxYm-iPiG4Jyt4pRR3mUn
60,ZMJ0J1JobzjW3lFbMYRvGNaaJhZkU1rsjI2i_N_FeO47dkGx
61,BMbGixVTF7rIu89JGUOklAGjbJXKUXL6pYJ-OZbGta1q5dTf
62,u0C8qXX7YvavGZfnVeiE_UlvINblToBvu-qGkH4UTHk9IklQ
63,u1OaXamPO6GXKdYLQ72Qcxju7c5BLtYJx_4fnpzUWn12jIJX
64,6bYYYlTt_BxR8oSjIWjlNo4gWf0mHpB2CUxcCWdvWBCYc3TP
65,EosdT31Nt7Ma-De6xFHyGPAiGuYs-qOnRUzoQ9V1YBspjOL4
66,MRnRrBkTWOrIva8LBBka3nmumB1vUTLjsJIYfhUbHI09j-P2
67,1AF7Ueg-U8x1OyhCzoLEbOmSbJvorrlFnQR_KIDzguWWw4Ia
68,REaNF0KJbhz0EEKKY-OZutDHS97ajyNTEgg5o4KeI3lcC7z6
69,vcQEfFjTM2QnObiTnDZmwTDKSRGrbBhSzDD4ub7rpiw_ZT5O
70,rv99K0bL045DzQgDoO-FnuyeV1d55_K16TgKEspRftstA4gs
71,7VhKmz45a7b-mNb0SB9WiW8zbxl_7WjDmSRwvwUMhDmjlGpx
72,bsZHEYeYE8WAqB4PAL4wSaPBad44BcHTDnQklJADsbtWVtwI
73,lolSWdSbhKD22ifE0ebggybJ0oHt2TniiJuAcbo2UzYvfTHL
74,dmvQon27FWkOCiX9L9Jk48jzJ1lAgQJX3s804jLUFA8QWk-y
75,HHfNkufWH0TZVtuSqkl3_794LF-7T9rvwtbW4Qbzzsu0NiHu
76,pN0zydxPVGjFWM2LhzgpE1lK8dB3LLMiqjfMToO3loiBZq2E
77,yd2anuoYEyOrw-HRsILuUQL0_YHj7DxrXMnIEwANWhX6_WA1
78,Em3IPuxFirInvSFqtdY5I9qn-0UhQLdxQIGOGP7EoQXUenlV
79,kI7C_nxEY04-TNw0Jk2hrVmmup9kCGW2dPvWsOT1DFtGUHeJ
80,pEjll-Gg1T3m9s-m8noHON81sHar_CP1L1uKpSF6ycYAV4O_
