,Blue Top,Blue Jungle,Blue Mid,Blue Carry,Blue Support,Red Top,Red Jungle,Red Mid,Red Carry,Red Support,Outcome
2665,"['SKXV', 'Varus']","['AR Drip', 'Diana']","['Raichu InComing', 'Yasuo']","['Anarchisup', 'Sivir']","['Tertann', 'Thresh']","['JΑZ', 'Ornn']","['Innó', 'Ekko']","['goth girl asmr', 'Kassadin']","['SLAYING NERDS', 'Draven']","['OneWithTheOcean', 'Yuumi']",True
2666,"['G2 Eto', 'Ornn']","['HrdstuckForester', 'Hecarim']","['PriestTouch', 'Zed']","['4lgerie', 'Caitlyn']","['sanchezdelarosa', 'Brand']","['Raichu InComing', 'Fiora']","['GNX Void', 'Khazix']","['GNX Jodaru', 'Lissandra']","['Orgen', 'Ezreal']","['Bäh', 'Yuumi']",True
2667,"['KillerLPL', 'Aatrox']","['GNX Void', 'Kayn']","['GNX Jodaru', 'Vex']","['999GML', 'Kaisa']","['Nannu', 'Lulu']","['BALL MAN', 'Gnar']","['Mimolettus', 'Yone']","['Raichu InComing', 'Zed']","['Worst ADcarry', 'Ezreal']","['L9 UWU BABYGIRL', 'Brand']",True
2668,"['Tezuka Ryoko', 'Darius']","['Rank 1 Zyzz fan', 'Kindred']","['Heroesxyz', 'Kassadin']","['tanri kulu', 'Lucian']","['A1iez', 'Nami']","['Raichu InComing', 'Aatrox']","['Nesteau', 'Viego']","['PiKaZYZZ', 'Sylas']","['Wxllan', 'Twitch']","['ώLasseώ', 'Karma']",True
2669,"['KIed Bot', 'Kled']","['Zéphi', 'Hecarim']","['ExilehJay', 'Taliyah']","['Fan2Keria', 'Xayah']","['BigYikesOnDaMic', 'Rakan']","['Raichu InComing', 'Garen']","['Beware The Bear', 'Volibear']","['PiKaZYZZ', 'Sylas']","['10 91', 'Jhin']","['LittleBoyBoo', 'Karma']",False
2670,"['Raichu InComing', 'Fiora']","['ClementInsane', 'Khazix']","['Ρoxi', 'Akali']","['L9 ENJOYER XDDDD', 'Samira']","['Tiger Shark', 'Nautilus']","['Kuang Xiao U', 'Renekton']","['FYRLIAN', 'Evelynn']","['xEmta', 'Zed']","['in head', 'Nilah']","['Rated S', 'Yuumi']",False
2671,"['Raichu InComing', 'Garen']","['Εric Dampierre', 'LeeSin']","['zekakos ad acc', 'Kassadin']","['Dοro', 'Xayah']","['jfk218', 'Taric']","['Hex Δ', 'KSante']","['ad8p', 'Rammus']","['the flying mole', 'Anivia']","['DrewxXaSa', 'Draven']","['aPhilip', 'Bard']",True
2672,"['Raichu InComing', 'Fiora']","['selfmord', 'Evelynn']","['PiKaZYZZ', 'Sylas']","['Schkuti', 'TahmKench']","['Airyne', 'Senna']","['olegnalehcim', 'Jax']","['La Sainte Crème', 'Qiyana']","['gRiXJason', 'Karthus']","['Iann Dior Fanboy', 'Lucian']","['NiunnSquad76', 'Nami']",False
2673,"['ad8p', 'Rammus']","['MilchRyzeKanzler', 'XinZhao']","['ieuqmcada', 'Sylas']","['Sun7 Fanboy', 'Caitlyn']","['Kaaz', 'Sona']","['Raichu InComing', 'Sett']","['Rhaastakoué', 'Kayn']","['PiKaZYZZ', 'Ahri']","['Jiji763', 'Ashe']","['Rhaastard', 'Soraka']",True
2674,"['rrrrrrrr 9758', 'Yone']","['Bixkhapta', 'DrMundo']","['tempxrpwljvuvngt', 'Vex']","['Terssi', 'Seraphine']","['Rika Okkotsu', 'Lux']","['Raichu InComing', 'Sett']","['Elefantenklo', 'Khazix']","['PiKaZYZZ', 'Veigar']","['RawbinIV AD acc', 'Lucian']","['Imaqtpyke', 'Pyke']",False
